Date,Open,High,Low,Close,Adjusted_close,Volume
1980-12-23,375.53,378.89,369.51,372.9,372.9,55260000
1980-12-24,372.3,376.07,369.51,374.04,374.04,29490000
1980-12-26,374.47,377.15,372.3,375.62,375.62,16130000
1980-12-29,376.08,377.95,370.06,371.55,371.55,36060000
1980-12-30,370.91,375.25,368.69,372.37,372.37,39750000
1980-12-31,372.53,376.1,369.99,373.44,373.44,41210000
1981-01-02,373.9,378.08,371.34,376.58,376.58,28870000
1981-01-05,378.81,385.62,377.12,383.61,383.61,58710000
1981-01-06,384.96,390.1,378.93,383.66,383.66,67400000
1981-01-07,371.28,377.81,368.21,375.3,375.3,92890000
1981-01-08,375.21,377.38,367.23,369.27,369.27,55350000
1981-01-09,369.45,373.51,365.7,369.77,369.77,50190000
1981-01-12,373.7,376.32,368.78,370.8,370.8,48760000
1981-01-13,370.0,372.42,365.99,369.52,369.52,40890000
1981-01-14,370.57,374.64,368.17,370.45,370.45,41390000
1981-01-15,370.45,375.23,368.69,373.2,373.2,39640000
1981-01-16,374.82,378.91,371.75,375.92,375.92,43260000
1981-01-19,376.32,380.17,373.35,376.46,376.46,36470000
1981-01-20,376.44,379.13,368.58,369.42,369.42,41750000
1981-01-21,367.55,371.19,364.44,367.8,367.8,39190000
1981-01-22,368.14,370.2,362.89,366.06,366.06,39880000
1981-01-23,365.56,368.49,362.87,365.27,365.27,37220000
1981-01-26,365.58,368.19,361.27,364.15,364.15,35380000
1981-01-27,364.51,370.34,362.89,368.08,368.08,42260000
1981-01-28,369.31,372.51,365.11,367.25,367.25,36690000
1981-01-29,366.91,372.46,364.74,369.45,369.45,38170000
1981-01-30,369.91,374.7,366.87,370.38,370.38,41160000
1981-02-02,368.85,370.48,360.58,363.82,363.82,44070000
1981-02-03,362.08,368.39,360.1,366.71,366.71,45950000
1981-02-04,367.6,370.5,364.03,367.8,367.8,45520000
1981-02-05,368.23,372.81,365.97,370.25,370.25,45320000
1981-02-06,370.7,375.98,368.87,373.01,373.01,45820000
1981-02-09,373.56,375.73,368.3,374.93,374.93,38330000
1981-02-10,368.71,372.19,366.22,369.38,369.38,40820000
1981-02-11,369.31,371.14,364.78,366.36,366.36,37770000
1981-02-12,365.68,367.78,361.7,363.37,363.37,34700000
1981-02-13,362.23,364.38,359.09,361.04,361.04,33360000
1981-02-17,361.17,365.13,359.32,362.82,362.82,37940000
1981-02-18,363.35,366.75,360.83,364.79,364.79,40410000
1981-02-19,365.34,366.61,358.04,359.44,359.44,41630000
1981-02-20,358.46,361.79,355.28,358.59,358.59,41900000
1981-02-23,358.52,363.58,355.93,360.59,360.59,39590000
