Date,Open,High,Low,Close,Adjusted_close,Volume
2011-10-10,11995.36,12337.09,11995.36,12337.06,12337.06,1123368516
2011-10-11,12301.97,12388.24,12252.55,12348.72,12348.72,1099023329
2011-10-12,12396.37,12609.6,12396.37,12479.74,12479.74,1342210110
2011-10-13,12450.64,12490.67,12302.33,12450.97,12450.97,1125880223
2011-10-14,12523.65,12673.27,12523.65,12671.04,12671.04,1087400399
2011-10-17,12635.88,12635.88,12382.81,12405.3,12405.3,1157639707
2011-10-18,12409.35,12748.64,12299.96,12671.12,12671.12,1383051561
2011-10-19,12642.63,12713.4,12463.2,12498.32,12498.32,1254599315
2011-10-20,12510.97,12589.68,12349.91,12552.42,12552.42,1247609669
2011-10-21,12599.29,12802.76,12599.29,12796.27,12796.27,1624148400
2011-10-24,12809.79,13022.08,12809.79,13002.38,13002.38,1192055063
2011-10-25,12968.94,12968.94,12707.12,12728.29,12728.29,1248584116
2011-10-26,12777.43,12917.99,12640.08,12872.9,12872.9,1437251196
2011-10-27,12953.18,13419.57,12953.18,13336.0,13336.0,1819241592
2011-10-28,13308.15,13358.14,13259.69,13334.25,13334.25,1280182287
2011-10-31,13334.25,13334.25,13004.52,13005.63,13005.63,1385177887
2011-11-01,12916.73,12916.73,12597.18,12631.26,12631.26,1677061347
2011-11-02,12916.44,12916.44,12597.18,12848.57,12848.57,1544825304
2011-11-03,12895.68,13119.1,12805.83,13099.6,13099.6,1378233650
2011-11-04,13051.0,13051.0,12869.46,13028.63,13028.63,1137226301
2011-11-07,13022.62,13097.92,12876.93,13091.86,13091.86,1041972219
2011-11-08,13127.93,13258.53,13012.56,13242.81,13242.81,1153859111
2011-11-09,13159.01,13159.01,12720.94,12739.76,12739.76,1441273940
2011-11-10,12804.2,12912.78,12721.45,12842.99,12842.99,1200084461
2011-11-11,12895.57,13128.75,12895.57,13102.04,13102.04,1004630666
2011-11-14,13075.57,13075.57,12918.6,12973.07,12973.07,914097286
2011-11-15,12946.82,13111.03,12888.53,13046.93,13046.93,1048899104
2011-11-16,12992.86,13076.03,12823.69,12832.87,12832.87,1231957704
2011-11-17,12821.8,12845.19,12552.19,12615.52,12615.52,1356121853
2011-11-18,12625.85,12689.75,12563.82,12609.54,12609.54,1265131481
2011-11-21,12547.76,12547.76,12272.81,12373.43,12373.43,1226432427
2011-11-22,12361.51,12412.12,12252.93,12317.74,12317.74,1123618565
2011-11-23,12271.12,12271.12,12032.06,12032.06,12032.06,1129456214
2011-11-25,12012.31,12140.63,11991.38,11991.38,11991.38,541067548
2011-11-28,12079.05,12409.7,12079.05,12363.04,12363.04,1250852678
2011-11-29,12375.0,12471.59,12350.9,12383.16,12383.16,1159777707
2011-11-30,12471.44,12934.94,12471.44,12934.82,12934.82,2226981540
2011-12-01,12916.52,12982.22,12859.71,12901.83,12901.83,1104817478
2011-12-02,12956.65,13073.34,12895.61,12907.87,12907.87,1087227009
2011-12-05,12979.51,13150.48,12974.95,13048.66,13048.66,1141068968
2011-12-06,13051.32,13131.17,12998.06,13054.57,13054.57,994296700
2011-12-07,13020.58,13130.28,12898.31,13071.5,13071.5,1196403485
2011-12-08,13030.17,13030.17,12751.31,12778.45,12778.45,1215814259
2011-12-09,12802.59,13045.07,12802.59,13013.11,13013.11,1058261789
2011-12-12,12958.4,12958.4,12717.19,12815.76,12815.76,1033575233
2011-12-13,12851.2,12953.39,12616.41,12681.39,12681.39,1181015730
2011-12-14,12652.84,12656.57,12505.05,12528.09,12528.09,1197862867
2011-12-15,12588.01,12669.36,12553.92,12580.21,12580.21,1109434419
2011-12-16,12599.8,12753.65,12585.09,12636.46,12636.46,2491561070
2011-12-19,12656.72,12693.8,12446.05,12473.99,12473.99,992698011
2011-12-20,12544.74,12874.03,12544.74,12860.78,12860.78,1231349416
2011-12-21,12841.67,12903.45,12729.66,12887.39,12887.39,1111705828
2011-12-22,12905.3,13010.83,12905.3,12995.01,12995.01,986311950
2011-12-23,13018.46,13103.42,13011.04,13103.23,13103.23,588594682
2011-12-27,13086.78,13145.35,13066.02,13110.32,13110.32,590065873
2011-12-28,13109.47,13112.27,12922.29,12930.58,12930.58,681094912
2011-12-29,12955.15,13079.7,12955.15,13073.18,13073.18,652172048
2011-12-30,13063.3,13085.03,13017.77,13019.33,13019.33,750200187
2012-01-03,13091.82,13303.39,13091.82,13214.11,13214.11,1087677545
2012-01-04,13191.52,13224.79,13113.81,13206.64,13206.64,1007591513
2012-01-05,13186.02,13279.72,13078.48,13258.18,13258.18,1119857654
2012-01-06,13262.34,13276.1,13178.15,13229.0,13229.0,985710700
2012-01-09,13249.8,13278.67,13194.87,13264.82,13264.82,1016138228
2012-01-10,13314.48,13431.25,13314.48,13393.37,13393.37,1116951512
2012-01-11,13374.63,13420.22,13328.85,13407.24,13407.24,1022277709
2012-01-12,13423.48,13454.09,13334.37,13443.57,13443.57,1007824155
2012-01-13,13401.81,13401.81,13256.87,13373.41,13373.41,1086562770
2012-01-17,13418.79,13516.22,13390.28,13418.12,13418.12,1058108900
2012-01-18,13422.08,13579.55,13392.12,13579.55,13579.55,1106780421
2012-01-19,13605.01,13662.79,13584.92,13648.92,13648.92,1188507137
2012-01-20,13631.59,13657.49,13598.11,13657.49,13657.49,1356361035
2012-01-23,13657.6,13731.77,13595.0,13660.52,13660.52,976310466
2012-01-24,13657.6,13731.77,13554.78,13662.03,13662.03,993815083
2012-01-25,13662.03,13810.9,13594.09,13789.83,13789.83,1122075812
2012-01-26,13662.03,13870.0,13594.09,13712.9,13712.9,1156233580
2012-01-27,13681.34,13747.22,13663.68,13712.15,13712.15,1109040507
2012-01-30,13662.38,13684.93,13542.95,13668.98,13668.98,979352379
2012-01-31,13704.82,13759.34,13604.81,13663.27,13663.27,1304940245
2012-02-01,13703.82,13868.19,13703.82,13811.72,13811.72,1233317833
2012-02-02,13823.55,13872.44,13791.1,13832.81,13832.81,1074797666
2012-02-03,13885.4,14050.14,13885.4,14047.18,14047.18,1233795949
2012-02-06,14008.78,14039.97,13969.82,14039.92,14039.92,930946477
2012-02-07,14019.5,14085.35,13952.89,14063.43,14063.43,984790543
2012-02-08,14067.71,14112.09,14007.21,14091.63,14091.63,1041306122
2012-02-09,14106.49,14131.39,14028.78,14109.41,14109.41,1075000259
2012-02-10,14054.61,14054.61,13950.35,14000.51,14000.51,994012673
2012-02-13,14046.72,14120.47,14039.93,14106.44,14106.44,921219467
2012-02-14,14082.15,14088.72,13990.97,14088.05,14088.05,1006868934
2012-02-15,14088.2,14147.29,13988.44,14014.96,14014.96,1092294955
2012-02-16,14012.61,14193.9,14002.21,14186.08,14186.08,1071653526
2012-02-17,14195.26,14239.51,14171.88,14208.23,14208.23,1260553575
2012-02-20,14195.26,14239.51,14171.88,14208.23,14208.23,0
2012-02-21,14224.5,14265.58,14157.25,14200.45,14200.45,1071771902
2012-02-22,14184.27,14207.85,14125.57,14147.55,14147.55,975628911
2012-02-23,14140.35,14232.46,14092.24,14226.35,14226.35,1018282462
2012-02-24,14240.73,14282.7,14223.89,14244.74,14244.74,857634862
2012-02-27,14195.19,14303.51,14119.45,14259.34,14259.34,1004556520
2012-02-28,14264.95,14314.05,14238.44,14292.37,14292.37,1050760540
2012-02-29,14302.74,14357.13,14198.21,14211.69,14211.69,1473021712
2012-03-01,14238.39,14333.52,14238.39,14302.61,14302.61,1117518413
2012-03-02,14302.61,14312.14,14202.65,14238.07,14238.07,951015021
2012-03-05,14221.51,14221.51,14125.84,14184.32,14184.32,927577159
2012-03-06,14130.04,14130.04,13919.7,13954.51,13954.51,1156204459
2012-03-07,13975.8,14081.12,13975.8,14060.27,14060.27,1056815168
2012-03-08,14099.31,14231.4,14099.31,14205.26,14205.26,964521107
2012-03-09,14221.74,14315.01,14216.54,14274.35,14274.35,962148999
2012-03-12,14273.0,14297.27,14223.21,14264.95,14264.95,829146372
2012-03-13,14319.31,14527.27,14319.31,14526.85,14526.85,1146811318
2012-03-14,14528.34,14556.31,14450.46,14492.85,14492.85,1079770699
2012-03-15,14508.04,14586.79,14475.58,14586.59,14586.59,1070910064
2012-03-16,14589.16,14616.98,14568.49,14598.33,14598.33,2173712698
2012-03-19,14597.29,14709.09,14577.29,14659.54,14659.54,936243847
2012-03-20,14618.75,14620.79,14525.94,14600.95,14600.95,893816046
2012-03-21,14605.49,14627.36,14553.98,14581.18,14581.18,946438688
2012-03-22,14528.89,14528.89,14422.17,14467.89,14467.89,958759544
2012-03-23,14474.1,14542.58,14401.48,14524.94,14524.94,965342539
2012-03-26,14569.37,14731.81,14569.37,14731.65,14731.65,984563950
2012-03-27,14738.31,14757.84,14678.11,14682.58,14682.58,954967869
2012-03-28,14678.81,14694.73,14516.15,14605.65,14605.65,1074570643
2012-03-29,14552.19,14598.08,14457.1,14583.05,14583.05,1052553155
2012-03-30,14621.71,14659.33,14556.35,14627.46,14627.46,1264594623
2012-04-02,14617.55,14775.01,14583.8,14740.15,14740.15,1029380312
2012-04-03,14734.45,14744.08,14597.72,14686.31,14686.31,1092539982
2012-04-04,14635.55,14635.55,14473.73,14523.33,14523.33,1091586217
2012-04-05,14496.55,14549.66,14464.6,14509.9,14509.9,919127971
2012-04-09,14441.42,14441.42,14294.43,14336.6,14336.6,948063583
2012-04-10,14325.25,14344.62,14064.96,14074.22,14074.22,1259626730
2012-04-11,14126.98,14247.48,14126.98,14193.57,14193.57,1012054810
2012-04-12,14206.14,14404.85,14206.14,14396.81,14396.81,920268907
2012-04-13,14365.42,14365.42,14214.98,14217.76,14217.76,977842773
2012-04-16,14254.75,14314.61,14160.57,14211.49,14211.49,976602157
2012-04-17,14249.96,14459.85,14249.96,14430.31,14430.31,939428761
2012-04-18,14399.37,14416.85,14347.64,14368.87,14368.87,938414965
2012-04-19,14359.24,14438.76,14222.49,14291.88,14291.88,1124323825
2012-04-20,14324.59,14405.88,14311.81,14313.72,14313.72,1347571535
2012-04-23,14257.12,14257.12,14090.19,14183.4,14183.4,1048275151
2012-04-24,14185.96,14273.21,14184.49,14234.85,14234.85,1030813183
2012-04-25,14278.93,14445.33,14278.93,14440.67,14440.67,1078832278
2012-04-26,14433.65,14563.3,14405.26,14541.31,14541.31,1016652398
2012-04-27,14556.28,14616.13,14504.86,14586.52,14586.52,1030830912
2012-04-30,14565.46,14565.46,14483.06,14518.64,14518.64,1109032121
2012-05-01,14511.02,14706.41,14499.6,14591.48,14591.48,1088054842
2012-05-02,14552.95,14578.78,14467.81,14566.63,14566.63,1027217486
2012-05-03,14571.26,14571.33,14403.02,14434.34,14434.34,1117270627
2012-05-04,14389.02,14389.02,14188.1,14200.54,14200.54,1076219873
2012-05-07,14166.83,14251.95,14147.98,14209.54,14209.54,1002520975
2012-05-08,14166.64,14169.89,13975.1,14152.18,14152.18,1213152190
2012-05-09,14089.36,14150.63,13936.18,14063.06,14063.06,1220065463
2012-05-10,14104.65,14178.86,14069.04,14099.53,14099.53,1082930393
2012-05-11,14082.15,14178.24,14004.28,14059.71,14059.71,1036654193
2012-05-14,13999.7,13999.7,13878.8,13897.85,13897.85,1041193514
2012-05-15,13900.27,13968.12,13797.52,13821.9,13821.9,1100292625
2012-05-16,13858.17,13937.5,13755.18,13755.18,13755.18,1116108854
2012-05-17,13758.2,13772.39,13520.9,13520.92,13520.92,1223925211
2012-05-18,13529.61,13596.63,13379.06,13410.29,13410.29,1521177984
2012-05-21,13426.34,13647.54,13416.04,13644.73,13644.73,1046226045
2012-05-22,13662.87,13770.3,13578.27,13645.07,13645.07,1086807487
2012-05-23,13620.65,13695.69,13435.45,13677.45,13677.45,1127003430
2012-05-24,13697.25,13730.67,13585.95,13697.84,13697.84,1045143980
2012-05-25,13698.69,13730.62,13636.43,13673.51,13673.51,769673457
2012-05-29,13732.81,13856.17,13732.81,13830.07,13830.07,946228309
2012-05-30,13778.42,13778.42,13595.28,13618.19,13618.19,1014169080
2012-05-31,13620.05,13678.23,13458.82,13586.26,13586.26,1779374625
2012-06-01,13510.06,13510.06,13228.86,13235.5,13235.5,1299453571
2012-06-04,13248.33,13286.27,13105.63,13227.9,13227.9,1088434565
2012-06-05,13201.01,13338.99,13184.81,13321.32,13321.32,952456220
