Date,Open,High,Low,Close,Adjusted_close,Volume
1970-12-31,830.267,830.267,830.267,830.267,830.267,0
1971-01-29,873.308,873.308,873.308,873.308,873.308,0
1971-02-26,885.372,885.372,885.372,885.372,885.372,0
1971-03-31,923.132,923.132,923.132,923.132,923.132,0
1971-04-30,955.247,955.247,955.247,955.247,955.247,0
1971-05-28,919.828,919.828,919.828,919.828,919.828,0
1971-06-30,921.912,921.912,921.912,921.912,921.912,0
1971-07-30,887.904,887.904,887.904,887.904,887.904,0
1971-08-31,919.188,919.188,919.188,919.188,919.188,0
1971-09-30,914.224,914.224,914.224,914.224,914.224,0
1971-10-29,877.326,877.326,877.326,877.326,877.326,0
1971-11-30,871.149,871.149,871.149,871.149,871.149,0
1971-12-31,949.261,949.261,949.261,949.261,949.261,0
1972-01-31,976.734,976.734,976.734,976.734,976.734,0
1972-02-29,1005.794,1005.794,1005.794,1005.794,1005.794,0
1972-03-30,1013.1,1013.1,1013.1,1013.1,1013.1,0
1972-04-28,1019.468,1019.468,1019.468,1019.468,1019.468,0
1972-05-31,1033.375,1033.375,1033.375,1033.375,1033.375,0
1972-06-30,1010.343,1010.343,1010.343,1010.343,1010.343,0
1972-07-31,1006.499,1006.499,1006.499,1006.499,1006.499,0
1972-08-31,1037.9,1037.9,1037.9,1037.9,1037.9,0
1972-09-29,1028.169,1028.169,1028.169,1028.169,1028.169,0
1972-10-31,1036.007,1036.007,1036.007,1036.007,1036.007,0
1972-11-30,1080.285,1080.285,1080.285,1080.285,1080.285,0
1972-12-29,1090.307,1090.307,1090.307,1090.307,1090.307,0
1973-01-31,1059.761,1059.761,1059.761,1059.761,1059.761,0
1973-02-28,1010.111,1010.111,1010.111,1010.111,1010.111,0
1973-03-30,1001.609,1001.609,1001.609,1001.609,1001.609,0
1973-04-30,950.871,950.871,950.871,950.871,950.871,0
1973-05-31,923.963,923.963,923.963,923.963,923.963,0
1973-06-29,914.854,914.854,914.854,914.854,914.854,0
1973-07-31,965.019,965.019,965.019,965.019,965.019,0
1973-08-31,931.518,931.518,931.518,931.518,931.518,0
1973-09-28,979.042,979.042,979.042,979.042,979.042,0
1973-10-31,978.752,978.752,978.752,978.752,978.752,0
1973-11-30,854.602,854.602,854.602,854.602,854.602,0
1973-12-31,861.726,861.726,861.726,861.726,861.726,0
1974-01-31,863.569,863.569,863.569,863.569,863.569,0
1974-02-28,862.058,862.058,862.058,862.058,862.058,0
1974-03-29,838.935,838.935,838.935,838.935,838.935,0
1974-04-30,799.58,799.58,799.58,799.58,799.58,0
1974-05-31,760.043,760.043,760.043,760.043,760.043,0
1974-06-28,739.502,739.502,739.502,739.502,739.502,0
1974-07-31,686.323,686.323,686.323,686.323,686.323,0
1974-08-30,620.035,620.035,620.035,620.035,620.035,0
1974-09-30,550.035,550.035,550.035,550.035,550.035,0
1974-10-31,639.413,639.413,639.413,639.413,639.413,0
1974-11-29,607.863,607.863,607.863,607.863,607.863,0
1974-12-31,590.336,590.336,590.336,590.336,590.336,0
1975-01-31,675.538,675.538,675.538,675.538,675.538,0
1975-02-28,712.859,712.859,712.859,712.859,712.859,0
1975-03-31,730.286,730.286,730.286,730.286,730.286,0
1975-04-30,763.987,763.987,763.987,763.987,763.987,0
1975-05-30,802.303,802.303,802.303,802.303,802.303,0
1975-06-30,840.172,840.172,840.172,840.172,840.172,0
1975-07-31,787.06,787.06,787.06,787.06,787.06,0
1975-08-29,766.262,766.262,766.262,766.262,766.262,0
1975-09-30,734.62,734.62,734.62,734.62,734.62,0
1975-10-31,773.792,773.792,773.792,773.792,773.792,0
1975-11-28,794.051,794.051,794.051,794.051,794.051,0
1975-12-31,784.146,784.146,784.146,784.146,784.146,0
1976-01-30,880.465,880.465,880.465,880.465,880.465,0
1976-02-27,881.884,881.884,881.884,881.884,881.884,0
1976-03-31,903.471,903.471,903.471,903.471,903.471,0
1976-04-30,893.641,893.641,893.641,893.641,893.641,0
